学号ID,姓名,电话,生日,入学年份
20212146001,李钳,15921425938,2001/7/16,2020
20212146002,周愧宏,16634228233,2000/9/18,2020
20212146003,钱庚沤,18503065144,2000/9/9,2020
20212146004,吕焰涩,16702628917,2000/6/28,2020
20212146005,杨理榔,16661692747,2001/4/8,2020
20212146006,张诵跌,16762365447,2000/3/20,2020
20212146008,冯铁社,16115592190,2000/4/24,2020
20212146009,吴薛亲,17866935706,2001/10/15,2020
20212146010,韩展英,14377019937,2000/8/16,2020
20212146011,张神涅,16861398506,2001/10/8,2020
20212146012,姜血羚,14380077437,2000/1/21,2020
20212146013,魏稠 ,14132519938,2001/1/27,2020
20212146014,褚材翼,18832503177,2000/6/29,2020
20212146015,章赴蹲,18584957967,2001/7/16,2020
20212146016,卫而缄,14144830630,2000/9/6,2020
20212146017,杨缔抽,13952215961,2002/5/29,2020
20212146018,邹纶鹊,14622926509,2002/3/23,2020
20212146019,王闺屋,15780895341,2000/4/28,2020
20212146020,朱渤迫,14268686721,2000/12/27,2020
20212146021,邹匪逊,13801507752,2001/4/11,2020
20212146022,王辈倘,16845838982,2002/4/12,2020
20212146023,何仟铰,17718533799,2001/10/4,2020
20212146024,孔秀随,14629556706,2000/7/11,2020
20212146025,施检寒,16905998325,2000/8/6,2020
20212146026,金芭樟,14750581540,2001/6/30,2020
20212146027,冯贯颅,17221753184,2001/9/29,2020
20212146028,褚量彪,15189657888,2002/6/10,2020
20212146029,戚甲赫,17350881664,2000/1/26,2020
20212146030,戚凳壬,16429784469,2001/4/27,2020
20212146031,戚膏吝,17141664588,2000/1/30,2020
20212146032,谢祷杂,14481872593,2001/5/24,2020
20212146033,郑犁输,15470910988,2000/6/19,2020
20212146034,王岛版,14492535489,2001/6/25,2020
20212146035,魏精冯,13574679147,2000/2/11,2020
20212146036,褚营力,17218686932,2000/12/28,2020
20212146037,钱台 ,15084272473,2001/3/28,2020
20212146038,杨拢,14991601908,2001/12/17,2020
20212146039,水幅头,14688797751,2001/8/1,2020
20212146040,张梆搭,15994367909,2000/12/30,2020
20212146041,陶喜赛,17154845854,2002/4/9,2020
20212146042,韩怔氓,14219481514,2001/8/30,2020
20212146043,金馆焉,17575878369,2000/2/23,2020
20212146044,褚膛训,16487285367,2001/10/27,2020
20212146045,赵婆灵,17821576883,2002/5/29,2020
20212146046,戚花厢,14526935411,2002/1/30,2020
20212146047,杨诺缺,13877244703,2001/5/20,2020
20212146048,吴恨憎,18897399416,2001/10/19,2020
20212146049,韩咸钉,14521159394,2000/12/27,2020
20212146050,金堵颠,13805186023,2000/8/9,2020
20212146051,金粳当,14547330212,2002/1/11,2020
20212146052,赵葵铆,17208070368,2000/5/20,2020
20212146053,戚蠕鳃,16592476968,2001/10/7,2020
20212146054,吕芜蛆,17911700955,2002/4/18,2020
20212146055,何埔,16834028878,2000/12/9,2020
20212146056,蒋山良,16549665451,2000/3/7,2020
20212146057,华棱帛,16668234675,2001/2/11,2020
20212146058,章沥呐,16730283382,2002/2/2,2020
20212146059,钱了拣,15491986924,2002/2/27,2020
20212146060,曹踊崇,16812796928,2000/8/25,2020
20212146061,戚凿,13971079137,2000/3/6,2020
20212146062,钱孕第,16741172081,2000/8/16,2020
20212146063,孙瞅羔,14579526345,2001/5/11,2020
20212146064,曹钠靶,17889886316,2001/4/25,2020
20212146065,杨蹭 ,18444517136,2000/10/18,2020
20212146066,谢捧扎,14774790400,2002/2/13,2020
20212146067,陶腊旁,13766811697,2001/1/4,2020
20212146068,戚铆晚,14811926260,2001/6/11,2020
20212146069,邹卞,18440742082,2002/1/17,2020
20212146070,周枉需,14807762664,2000/9/30,2020
20212146071,章荐肉,18861937805,2002/4/1,2020
20212146072,郑荧,17074322337,2001/2/26,2020
20212146073,卫寇栅,16320927592,2001/3/27,2020
20212146074,王骂尾,17698977037,2000/11/25,2020
20212146075,钱葫豆,15971558995,2001/7/12,2020
20212146076,杨肌,17390297490,2001/2/8,2020
20212146077,孔寝缸,14415021206,2001/2/1,2020
20212146078,邹枪钵,18511286667,2001/10/21,2020
